Category Name,Bottles Sold,Bottle Volume (ml),State Bottle Cost,State Bottle Retail
,"102,820",771.7347382817356708,$16.9729852045256745,$25.4832183264950889
SCHNAPPS - IMPORTED,620,465.0588235294117647,$11.84,$17.7588235294117647
MISCELLANEOUS SCHNAPPS,"179,899",802.0803088803088803,$7.4737491891891892,$11.2192228571428571
AMERICAN DRY GINS,"2,407,204","1,001.2733807618200682",$5.8720658304275584,$8.8173838665137722
AMERICAN AMARETTO,"447,099",933.3724095325458187,$4.4869006121646667,$6.7316474156167512
PEACH SCHNAPPS,"567,257",894.3986593059936909,$6.3899182965299685,$9.604043690851735
American Dry Gins,"118,372",988.9230641684629415,$6.0141475708837672,$9.0265536395290997
Gold Rum,"35,691","1,098.6600774403912778",$8.3985642959038109,$12.6041247197880579
PUERTO RICO & VIRGIN ISLANDS RUM,"3,615,422","1,085.1940304924932216",$7.5085744708834122,$11.2988940148112177
CREAM LIQUEURS,"1,862,874",827.0134725395543798,$11.9218397725515796,$17.9218375822439058
Temporary & Specialty Packages,"22,790",874.7699873096446701,$16.1605266497461929,$24.2447303299492386
PEACH BRANDIES,"118,174",629.5935633709356337,$4.9203676177836762,$7.3852674187126742
Imported Vodkas,"143,855",930.7966617346345032,$12.9673548236937042,$19.4540286944522951
WATERMELON SCHNAPPS,"156,548",893.5104236718224613,$6.9855917955615333,$10.5032341403272809
DISTILLED SPIRITS SPECIALTY,"828,898",774.9340007969715083,$9.7448133758384804,$14.6544437803015209
Imported Vodka,"102,390",921.6023217840606616,$13.0286679938264701,$19.5714838839555327
Whiskey Liqueur,"320,009","1,147.6550335682834134",$12.4433621858728591,$18.6672763649148655
Iowa Distilleries,"1,272",750,$22.7782021151586369,$34.1721151586368978
American Distilled Spirits Specialty,"2,828",735.2719033232628399,$9.9485649546827795,$14.9229078549848943
100 PROOF VODKA,"889,511","1,109.8225454985674509",$5.8790167870545983,$8.8226942012025342
BLENDED WHISKIES,"4,073,313","1,049.4182695138244152",$6.7529330857543987,$10.137149702225946
CREME DE ALMOND,"6,620",751.3795217657878602,$4.4709258123850399,$6.7053648068669528
GRAPE SCHNAPPS,"139,783",902.0622508432996013,$7.0302552897884085,$10.5686315547378105
CINNAMON SCHNAPPS,"179,177",810.1651526215860961,$7.5890112458010808,$11.4086560537461662
American Sloe Gins,"1,988","1,000",$5.42,$8.13
